"ST","STATE","ST_ABBR","STCNTY","COUNTY","FIPS","LOCATION","AREA_SQMI","E_TOTPOP","M_TOTPOP","E_HU","M_HU","E_HH","M_HH","E_POV150","M_POV150","E_UNEMP","M_UNEMP","E_HBURD","M_HBURD","E_NOHSDP","M_NOHSDP","E_UNINSUR","M_UNINSUR","E_AGE65","M_AGE65","E_AGE17","M_AGE17","E_DISABL","M_DISABL","E_SNGPNT","M_SNGPNT","E_LIMENG","M_LIMENG","E_MINRTY","M_MINRTY","E_MUNIT","M_MUNIT","E_MOBILE","M_MOBILE","E_CROWD","M_CROWD","E_NOVEH","M_NOVEH","E_GROUPQ","M_GROUPQ","EP_POV150","MP_POV150","EP_UNEMP","MP_UNEMP","EP_HBURD","MP_HBURD","EP_NOHSDP","MP_NOHSDP","EP_UNINSUR","MP_UNINSUR","EP_AGE65","MP_AGE65","EP_AGE17","MP_AGE17","EP_DISABL","MP_DISABL","EP_SNGPNT","MP_SNGPNT","EP_LIMENG","MP_LIMENG","EP_MINRTY","MP_MINRTY","EP_MUNIT","MP_MUNIT","EP_MOBILE","MP_MOBILE","EP_CROWD","MP_CROWD","EP_NOVEH","MP_NOVEH","EP_GROUPQ","MP_GROUPQ","EPL_POV150","EPL_UNEMP","EPL_HBURD","EPL_NOHSDP","EPL_UNINSUR","SPL_THEME1","RPL_THEME1","EPL_AGE65","EPL_AGE17","EPL_DISABL","EPL_SNGPNT","EPL_LIMENG","SPL_THEME2","RPL_THEME2","EPL_MINRTY","SPL_THEME3","RPL_THEME3","EPL_MUNIT","EPL_MOBILE","EPL_CROWD","EPL_NOVEH","EPL_GROUPQ","SPL_THEME4","RPL_THEME4","SPL_THEMES","RPL_THEMES","F_POV150","F_UNEMP","F_HBURD","F_NOHSDP","F_UNINSUR","F_THEME1","F_AGE65","F_AGE17","F_DISABL","F_SNGPNT","F_LIMENG","F_THEME2","F_MINRTY","F_THEME3","F_MUNIT","F_MOBILE","F_CROWD","F_NOVEH","F_GROUPQ","F_THEME4","F_TOTAL","E_DAYPOP","E_NOINT","M_NOINT","E_AFAM","M_AFAM","E_HISP","M_HISP","E_ASIAN","M_ASIAN","E_AIAN","M_AIAN","E_NHPI","M_NHPI","E_TWOMORE","M_TWOMORE","E_OTHERRACE","M_OTHERRACE","EP_NOINT","MP_NOINT","EP_AFAM","MP_AFAM","EP_HISP","MP_HISP","EP_ASIAN","MP_ASIAN","EP_AIAN","MP_AIAN","EP_NHPI","MP_NHPI","EP_TWOMORE","MP_TWOMORE","EP_OTHERRACE","MP_OTHERRACE"
23,"Maine","ME",23005,"Cumberland County",23005012001,"Census Tract 120.01; Cumberland County; Maine",15.226509978592,1747,334,1077,163,738,160,25,23,8,13,71,44,10,16,36,19,626,319,315,95,64,48,19,22,7,44,53,468,0,15,17,17,0,15,10,15,24,15,1.4,1.3,0.9,1.5,9.6,5.6,0.7,1.1,2.1,1.2,35.8,13.6,18,5.4,3.7,2.7,2.6,2.9,0.4,2.8,3,26.8,0,1.4,1.6,1.6,0,1.4,1.4,2.1,1.4,0.8,0,0.0602,0.015,0.015,0.0777,0.1679,0,0.9449,0.5188,0,0.3233,0.6717,2.4587,0.5489,0.1078,0.1078,0.1078,0,0.2531,0,0.1203,0.6441,1.0175,0.0376,3.7519,0.0125,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,714,7,10,0,11,39,38,14,4,0,11,0,11,0,11,0,11,0.9,1.4,0,1.6,2.2,2.2,0.8,0.3,0,1.6,0,1.6,0,1.6,0,1.6
23,"Maine","ME",23005,"Cumberland County",23005012002,"Census Tract 120.02; Cumberland County; Maine",17.969324532312,2800,333,2137,217,1202,209,264,149,70,59,234,102,18,20,213,214,416,149,530,192,241,110,38,33,0,44,286,489,8,17,35,37,11,21,54,40,3,3,9.5,5.3,4.3,3.4,19.5,7.8,0.9,1,7.6,7.4,14.9,5.4,18.9,6.2,8.6,3.8,3.1,2.7,0,1.7,10.2,17.4,0.4,0.8,1.6,1.7,0.9,1,4.5,3.4,0.1,0.1,0.1754,0.599,0.3158,0.0251,0.584,1.6993,0.2356,0.1328,0.5965,0.0777,0.3985,0,1.2055,0.0376,0.7519,0.7519,0.7519,0.3008,0.2531,0.4912,0.4737,0.188,1.7068,0.2155,5.3635,0.1454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709,188,208,7,15,30,36,40,41,0,11,0,11,1,2,208,307,15.6,15.6,0.3,0.5,1.1,1.3,1.4,1.4,0,1,0,1,0,0.1,7.4,10.7
23,"Maine","ME",23005,"Cumberland County",23005013001,"Census Tract 130.01; Cumberland County; Maine",16.04989141259,1709,271,1184,244,914,257,310,235,12,15,271,215,52,38,141,135,463,237,249,66,202,98,0,15,0,44,381,365,24,31,187,236,0,15,24,34,8,11,18.2,13.5,1.3,1.6,29.6,22,3.7,2.8,8.3,7.8,27.1,11.9,14.6,4.1,11.9,5.8,0,1.6,0,2.6,22.3,21.1,2,2.6,15.8,18.4,0,1.3,2.6,4.1,0.5,0.6,0.4862,0.1128,0.7494,0.2832,0.6466,2.2782,0.401,0.7794,0.2431,0.2155,0,0,1.238,0.0426,0.9599,0.9599,0.9599,0.5439,0.8296,0,0.2657,0.4461,2.0853,0.3609,6.5614,0.2907,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,592,13,20,2,5,0,11,0,11,0,11,0,11,379,312,0,11,1.4,2.4,0.1,0.3,0,1.6,0,1.6,0,1.6,0,1.6,22.2,16.3,0,1.6
23,"Maine","ME",23005,"Cumberland County",23005013002,"Census Tract 130.02; Cumberland County; Maine",15.234013098758,1948,270,1872,239,921,143,395,203,46,60,241,112,112,66,78,79,462,113,273,117,332,117,19,31,0,44,92,383,71,84,465,154,6,16,85,89,7,3,20.4,10.1,4.6,5.8,26.2,11.5,7,3.9,4,3.9,23.7,6.2,14,5.1,17.1,6,2.1,3.4,0,2.4,4.7,19.7,3.8,4.5,24.8,7.9,0.7,0.9,9.2,8.9,0.4,0.1,0.5464,0.6391,0.6341,0.609,0.2005,2.6291,0.5263,0.614,0.2155,0.5739,0.2406,0,1.644,0.1629,0.2707,0.2707,0.2707,0.6441,0.9599,0.4311,0.7519,0.3985,3.1855,0.8221,7.7293,0.5013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1186,164,103,0,11,12,25,27,39,0,11,0,11,53,52,0,11,17.8,9.8,0,1.4,0.6,1.2,1.4,2,0,1.4,0,1.4,2.7,2.7,0,1.4
23,"Maine","ME",23005,"Cumberland County",23005014001,"Census Tract 140.01; Cumberland County; Maine",16.170547129284,2765,234,2240,216,1450,245,344,262,0,11,419,297,43,55,146,142,672,168,503,159,358,164,11,21,0,44,225,369,0,15,304,258,0,15,45,41,0,11,12.4,9.4,0,1.7,28.9,19.9,2,2.5,5.3,5,24.3,6.4,18.2,5.3,12.9,6.1,0.8,1.4,0,1.7,8.1,13.3,0,0.7,13.6,11,0,0.7,3.1,2.9,0,0.4,0.2657,0,0.7343,0.1078,0.3258,1.4336,0.1554,0.6541,0.5313,0.2907,0.0752,0,1.5513,0.1253,0.604,0.604,0.604,0,0.7569,0,0.3158,0,1.0727,0.0501,4.6616,0.0652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1701,381,290,0,11,0,11,0,11,0,11,57,65,168,256,0,11,26.3,17,0,1,0,1,0,1,0,1,2.1,2.4,6.1,9.1,0,1
23,"Maine","ME",23005,"Cumberland County",23005014002,"Census Tract 140.02; Cumberland County; Maine",15.66403072634,1163,234,1223,171,595,143,133,90,27,37,163,90,27,22,56,45,314,124,186,84,104,74,19,25,0,44,128,308,0,15,200,126,0,15,26,40,9,8,11.6,7.5,4,5.4,27.4,13.6,2.9,2.5,4.8,3.8,27,8.6,16,6.3,9,5.8,3.2,4.1,0,3.8,11,26.4,0,1.2,16.4,9.6,0,1.2,4.4,6.4,0.8,0.7,0.2356,0.5514,0.6767,0.1955,0.2757,1.9349,0.2807,0.7744,0.3434,0.0952,0.4211,0,1.6341,0.1579,0.7769,0.7769,0.7769,0,0.8546,0,0.4586,0.5388,1.852,0.2632,6.1979,0.2381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1839,45,46,1,4,61,71,0,11,0,11,0,11,66,81,0,11,7.6,7.4,0.1,0.3,5.2,5.6,0,2.3,0,2.3,0,2.3,5.7,6.7,0,2.3
23,"Maine","ME",23005,"Cumberland County",23005015000,"Census Tract 150; Cumberland County; Maine",33.19435882906,2498,37,1862,101,1241,121,440,201,30,26,392,174,170,73,338,132,692,158,306,72,299,89,42,30,0,44,169,120,0,15,190,66,27,26,10,11,0,11,17.6,8,2.3,2,31.6,13.7,8,3.5,13.5,5.3,27.7,6.3,12.2,2.9,12,3.6,3.3,2.4,0,1.8,6.8,4.8,0,0.8,10.2,3.6,2.2,1.4,0.8,0.9,0,0.4,0.4612,0.2732,0.807,0.7193,0.9173,3.178,0.7419,0.792,0.1203,0.2206,0.4311,0,1.564,0.1303,0.5038,0.5038,0.5038,0,0.6291,0.7769,0.0602,0,1.4662,0.1328,6.712,0.3083,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1014,123,55,0,11,38,44,31,42,0,11,0,11,100,94,0,11,9.9,4.8,0,1.1,1.5,1.8,1.2,1.7,0,1.1,0,1.1,4,3.8,0,1.1
23,"Maine","ME",23005,"Cumberland County",23005016001,"Census Tract 160.01; Cumberland County; Maine",45.865596736698,3613,389,3100,216,1637,243,448,241,167,130,157,104,339,194,582,473,972,438,389,192,839,363,104,83,0,44,258,555,59,59,180,112,0,15,19,31,49,7,12.5,6.6,9.9,7.1,9.6,6.2,11.4,6.5,16.3,12.6,26.9,11.2,10.8,5.6,23.5,9,6.4,5,0,1.2,7.1,15.3,1.9,1.9,5.8,3.6,0,0.5,1.2,1.9,1.4,0.1,0.2732,0.9499,0.015,0.9123,0.9624,3.1128,0.7168,0.7669,0.0852,0.8797,0.812,0,2.5438,0.5865,0.5263,0.5263,0.5263,0.5138,0.4561,0,0.0977,0.6441,1.7117,0.218,7.8946,0.5238,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2151,154,113,1,6,90,94,19,35,0,11,0,11,148,120,0,11,9.4,6.5,0,0.2,2.5,2.6,0.5,1,0,0.8,0,0.8,4.1,3.3,0,0.8
23,"Maine","ME",23005,"Cumberland County",23005016002,"Census Tract 160.02; Cumberland County; Maine",10.999373390316,1858,389,1685,184,766,177,556,252,29,31,265,137,30,37,126,135,445,180,283,104,263,129,42,47,44,68,105,550,0,15,462,168,0,15,94,79,116,9,31.6,12.5,3.5,3.4,34.6,16,2.5,2.9,6.8,6.9,24,8.3,15.2,4.3,14.2,7.7,5.5,6,2.4,3.7,5.7,29.6,0,0.9,27.4,10.2,0,0.9,12.3,9.4,6.2,1.4,0.8922,0.4812,0.8496,0.1404,0.4837,2.8471,0.619,0.6316,0.2832,0.381,0.7268,0.9524,2.975,0.8221,0.4035,0.4035,0.4035,0,0.9724,0,0.8521,0.9048,2.7293,0.6642,8.9549,0.7469,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,2,3,2119,52,48,36,39,50,54,6,11,0,11,0,11,13,16,0,11,6.8,6.5,1.9,2.2,2.7,2.9,0.3,0.6,0,1.5,0,1.5,0.7,0.9,0,1.5
23,"Maine","ME",23005,"Cumberland County",23005016500,"Census Tract 165; Cumberland County; Maine",68.087038656686,3183,230,2130,148,1334,112,591,166,82,70,336,92,271,98,481,164,626,93,524,137,519,104,39,28,0,44,193,328,0,15,234,89,30,31,18,17,6,5,18.7,5.1,4.8,4,25.2,6.6,11.8,3.8,15.1,4.9,19.7,3,16.5,3.7,16.3,3.2,2.9,2.1,0,1.4,6.1,10.3,0,0.7,11,3.9,2.2,1.4,1.3,1.3,0.2,0.2,0.4987,0.6591,0.594,0.9223,0.9524,3.6265,0.8747,0.4185,0.381,0.5113,0.3634,0,1.6742,0.1679,0.4461,0.4461,0.4461,0,0.6617,0.7769,0.1078,0.2807,1.8271,0.2556,7.5739,0.4837,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1312,203,69,3,5,42,40,0,11,7,9,0,11,137,68,4,8,15.2,5,0.1,0.2,1.3,1.3,0,0.9,0.2,0.3,0,0.9,4.3,2.1,0.1,0.2
